currency,yield,real_yield,timestamp,total_supply,circulating_supply,staked_supply,staking_rate,inflation,inflation_total
Cosmos,0.08731,0.02143,2020-02-07T11:25:46.414702,251049575,251049575,185451773,0.738710,0.064497,0.064497
Cosmos,0.08730,0.02140,2020-02-06T23:25:51.728047,251027572,251027572,185511800,0.739010,0.064514,0.064514
Cosmos,0.08722,0.02131,2020-02-05T23:25:41.343867,250983028,250983028,185708111,0.739920,0.064536,0.064536
Cosmos,0.08719,0.02125,2020-02-04T23:25:51.009962,250938664,250938664,185841589,0.740590,0.064569,0.064569
Cosmos,0.08640,0.02045,2020-02-03T23:25:44.365786,250894513,250894513,187676969,0.748030,0.064632,0.064632
Cosmos,0.08646,0.02044,2020-02-02T23:25:40.940784,250850339,250850339,187702496,0.748260,0.064697,0.064697
Cosmos,0.08838,0.02221,2020-02-01T23:25:41.239577,250805968,250805968,183706161,0.732460,0.064733,0.064733
Cosmos,0.08833,0.02214,2020-01-31T23:25:46.236174,250761078,250761078,183838333,0.733120,0.064758,0.064758
Cosmos,0.08828,0.02206,2020-01-30T23:25:36.109099,250716136,250716136,184001678,0.733900,0.064790,0.064790
Cosmos,0.08832,0.02208,2020-01-29T23:25:37.499758,250671331,250671331,183944120,0.733810,0.064813,0.064813
Cosmos,0.08912,0.02279,2020-01-28T23:25:45.008637,250626637,250626637,182374955,0.727680,0.064854,0.064854
Cosmos,0.08907,0.02270,2020-01-27T23:25:42.344731,250582206,250582206,182585168,0.728640,0.064901,0.064901
Cosmos,0.08868,0.02229,2020-01-26T23:25:46.555434,250537641,250537641,183487046,0.732370,0.064949,0.064949
Cosmos,0.08867,0.02221,2020-01-25T23:25:48.843186,250493304,250493304,183659143,0.733190,0.065009,0.065009
Cosmos,0.08794,0.02147,2020-01-24T23:25:51.935283,250449004,250449004,185320060,0.739950,0.065068,0.065068
Cosmos,0.06657,0.00134,2020-01-23T23:25:53.337892,189316335,189316335,185260368,0.978580,0.065140,0.065140
Cosmos,0.06667,0.00137,2020-01-22T23:25:37.887936,189272857,189272857,185115898,0.978040,0.065205,0.065205
Cosmos,0.06676,0.00140,2020-01-21T23:25:43.215278,189180931,189180931,184943874,0.977600,0.065261,0.065261
Cosmos,0.06680,0.00137,2020-01-20T23:25:51.228205,189161651,189161651,185019119,0.978100,0.065338,0.065338
Cosmos,0.06682,0.00132,2020-01-19T23:25:49.438944,189121614,189121614,185133281,0.978910,0.065408,0.065408
Cosmos,0.06684,0.00127,2020-01-18T23:25:42.161201,189092983,189092983,185252241,0.979690,0.065481,0.065481
Cosmos,0.06690,0.00127,2020-01-17T23:25:39.787088,189109288,189109288,185279166,0.979750,0.065546,0.065546
Cosmos,0.06687,0.00116,2020-01-16T23:25:43.812219,188635519,188635519,185135901,0.981450,0.065628,0.065628
Cosmos,0.06684,0.00107,2020-01-15T23:25:39.568738,188592665,188592665,185367471,0.982900,0.065696,0.065696
Cosmos,0.06685,0.00101,2020-01-14T23:25:42.914046,188569167,188569167,185530276,0.983880,0.065777,0.065777
Cosmos,0.06686,0.00094,2020-01-13T23:25:41.521024,188522728,188522728,185688026,0.984960,0.065854,0.065854
Cosmos,0.06687,0.00089,2020-01-12T23:25:36.115299,188618028,188618028,185950697,0.985860,0.065922,0.065922
Cosmos,0.06691,0.00089,2020-01-11T23:25:43.710720,188557575,188557575,185882601,0.985810,0.065964,0.065964
Cosmos,0.06688,0.00081,2020-01-10T23:25:43.657154,188510656,188510656,186076855,0.987090,0.066016,0.066016
Cosmos,0.06686,0.00075,2020-01-09T23:25:48.176056,188477505,188477505,186228690,0.988070,0.066066,0.066066
Cosmos,0.06717,0.00100,2020-01-08T23:28:38.946033,188987463,188987463,186000166,0.984190,0.066113,0.066113
Cosmos,0.06724,0.00101,2020-01-07T23:25:40.170236,189070771,189070771,186055234,0.984050,0.066172,0.066172
Cosmos,0.06731,0.00101,2020-01-06T23:25:36.472419,189253801,189253801,186237677,0.984060,0.066234,0.066234
Cosmos,0.06749,0.00110,2020-01-05T23:25:47.036603,189593110,189593110,186293554,0.982600,0.066314,0.066314
Cosmos,0.06780,0.00131,2020-01-04T23:25:44.122105,190217537,190217537,186284011,0.979320,0.066400,0.066400
Cosmos,0.06787,0.00131,2020-01-03T23:26:05.900091,190181747,190181747,186257390,0.979360,0.066466,0.066466
Cosmos,0.06794,0.00132,2020-01-02T23:25:43.644342,190332935,190332935,186392616,0.979300,0.066535,0.066535
Cosmos,0.06803,0.00136,2020-01-01T23:25:36.965678,190519375,190519375,186469883,0.978740,0.066581,0.066581
Cosmos,0.06806,0.00133,2019-12-31T23:25:43.688361,190469429,190469429,186489589,0.979100,0.066633,0.066633
Cosmos,0.06822,0.00142,2019-12-30T23:25:44.552967,190743087,190743087,186498621,0.977750,0.066703,0.066703
Cosmos,0.06847,0.00160,2019-12-29T23:25:44.299957,191265759,191265759,186489654,0.975030,0.066759,0.066759
Cosmos,0.06852,0.00160,2019-12-28T23:25:44.219880,191099042,191099042,186332843,0.975060,0.066812,0.066812
Cosmos,0.06858,0.00160,2019-12-27T23:25:49.160925,191013470,191013470,186260305,0.975120,0.066877,0.066877
Cosmos,0.06865,0.00161,2019-12-26T23:25:44.680307,190944289,190944289,186167377,0.974980,0.066928,0.066928
Cosmos,0.06929,0.00215,2019-12-25T23:25:40.740237,192458018,192458018,186072661,0.966820,0.066991,0.066991
Cosmos,0.06940,0.00221,2019-12-24T23:25:42.373707,191952405,191952405,185434114,0.966040,0.067044,0.067044
Cosmos,0.06942,0.00218,2019-12-23T23:25:43.077942,191832354,191832354,185415904,0.966550,0.067099,0.067099
Cosmos,0.06950,0.00220,2019-12-22T23:25:43.839132,191089439,191089439,184621436,0.966150,0.067148,0.067148
Cosmos,0.06964,0.00230,2019-12-21T23:25:51.099246,191335669,191335669,184606571,0.964830,0.067194,0.067194
Cosmos,0.06968,0.00229,2019-12-20T23:25:44.120113,191296609,191296609,184583128,0.964900,0.067237,0.067237
Cosmos,0.06975,0.00231,2019-12-19T23:25:50.675228,191184852,191184852,184419292,0.964610,0.067279,0.067279
Cosmos,0.06952,0.00206,2019-12-18T23:25:47.169936,191207503,191207503,185157086,0.968360,0.067324,0.067324
Cosmos,0.06956,0.00206,2019-12-17T23:25:44.439743,191242460,191242460,185208575,0.968450,0.067368,0.067368
Cosmos,0.06975,0.00220,2019-12-16T23:25:43.966525,191721062,191721062,185280226,0.966400,0.067407,0.067407
Cosmos,0.09058,0.02119,2019-12-11T14:25:36.223498,248451792,248451792,186385424,0.750190,0.067948,0.067948
Cosmos,0.09061,0.02119,2019-12-10T23:25:49.320221,248423034,248423034,186370145,0.750210,0.067977,0.067977
Cosmos,0.09076,0.02129,2019-12-09T23:26:45.666295,248376989,248376989,186155706,0.749490,0.068022,0.068022
Cosmos,0.09061,0.02111,2019-12-08T23:25:52.130870,248330794,248330794,186545468,0.751200,0.068065,0.068065
Cosmos,0.09071,0.02117,2019-12-07T23:25:53.299324,248284445,248284445,186404742,0.750770,0.068101,0.068101
Cosmos,0.09080,0.02121,2019-12-06T23:25:44.960744,248238123,248238123,186288580,0.750440,0.068137,0.068137
Cosmos,0.09088,0.02126,2019-12-05T23:25:45.165470,248191743,248191743,186172969,0.750120,0.068174,0.068174
Cosmos,0.09028,0.02066,2019-12-04T23:25:50.267447,248145316,248145316,187495693,0.755590,0.068215,0.068215
Cosmos,0.09029,0.02062,2019-12-03T23:25:55.044720,248098889,248098889,187566578,0.756020,0.068260,0.068260
Cosmos,0.09185,0.02204,2019-12-02T23:26:03.428696,248052438,248052438,184463150,0.743650,0.068303,0.068303
Cosmos,0.09183,0.02199,2019-12-01T23:25:56.248742,248005884,248005884,184566291,0.744200,0.068338,0.068338
Cosmos,0.09174,0.02188,2019-11-30T23:26:09.475562,247959374,247959374,184789509,0.745240,0.068371,0.068371
Cosmos,0.09177,0.02188,2019-11-29T23:25:56.799514,247912847,247912847,184752141,0.745230,0.068388,0.068388
Cosmos,0.09191,0.02201,2019-11-28T23:26:03.714650,247866371,247866371,184462183,0.744200,0.068401,0.068401
Cosmos,0.09303,0.02303,2019-11-27T23:25:49.719751,247819906,247819906,182267123,0.735480,0.068421,0.068421
Cosmos,0.09310,0.02308,2019-11-26T23:26:12.798573,247773519,247773519,182157506,0.735180,0.068443,0.068443
Cosmos,0.09304,0.02301,2019-11-25T23:25:44.198191,247727022,247727022,182276279,0.735800,0.068461,0.068461
Cosmos,0.09342,0.02334,2019-11-24T23:25:57.766702,247680533,247680533,181557865,0.733030,0.068480,0.068480
Cosmos,0.09339,0.02330,2019-11-23T23:25:52.372421,247633998,247633998,181611021,0.733380,0.068489,0.068489
Cosmos,0.09342,0.02332,2019-11-22T23:25:51.817812,247587516,247587516,181552035,0.733280,0.068505,0.068505
Cosmos,0.09361,0.02346,2019-11-21T23:25:42.823817,247541038,247541038,181240507,0.732160,0.068534,0.068534
Cosmos,0.09360,0.02343,2019-11-20T23:25:44.588193,247494572,247494572,181304861,0.732560,0.068567,0.068567
Cosmos,0.09387,0.02365,2019-11-19T23:26:01.795884,247448091,247448091,180817155,0.730730,0.068593,0.068593
Cosmos,0.09390,0.02366,2019-11-18T23:27:29.127713,247401610,247401610,180790912,0.730760,0.068621,0.068621
Cosmos,0.09405,0.02377,2019-11-17T23:29:10.111159,247355134,247355134,180540611,0.729880,0.068649,0.068649
Cosmos,0.09414,0.02382,2019-11-16T23:25:49.834702,247308615,247308615,180428001,0.729570,0.068681,0.068681
Cosmos,0.09420,0.02386,2019-11-15T23:27:29.055421,247262194,247262194,180320769,0.729270,0.068700,0.068700
Cosmos,0.09420,0.02383,2019-11-14T23:25:41.594320,247215584,247215584,180366384,0.729590,0.068727,0.068727
Cosmos,0.09418,0.02380,2019-11-13T23:25:45.916417,247169045,247169045,180399345,0.729860,0.068737,0.068737
Cosmos,0.09422,0.02383,2019-11-12T23:25:47.097467,247122512,247122512,180322250,0.729690,0.068751,0.068751
Cosmos,0.09422,0.02382,2019-11-11T23:25:42.671004,247075932,247075932,180328327,0.729850,0.068769,0.068769
Cosmos,0.09489,0.02442,2019-11-10T23:52:02.174885,247030151,247030151,179075733,0.724910,0.068788,0.068788
Cosmos,0.09457,0.02411,2019-11-09T23:41:24.532472,246983313,246983313,179692462,0.727550,0.068805,0.068805
Cosmos,0.09460,0.02411,2019-11-08T23:25:48.866180,246936232,246936232,179670426,0.727600,0.068827,0.068827
Cosmos,0.09449,0.02399,2019-11-07T23:26:04.609961,246889596,246889596,179895604,0.728650,0.068853,0.068853
Cosmos,0.09444,0.02392,2019-11-06T23:52:45.996973,246843783,246843783,180026285,0.729310,0.068879,0.068879
Cosmos,0.09434,0.02379,2019-11-05T23:52:41.935973,246797082,246797082,180266805,0.730420,0.068907,0.068907
Cosmos,0.09437,0.02380,2019-11-04T23:52:43.024923,246750420,246750420,180227623,0.730400,0.068929,0.068929
Cosmos,0.09418,0.02360,2019-11-03T23:52:42.550328,246703665,246703665,180620418,0.732140,0.068954,0.068954
Cosmos,0.09419,0.02360,2019-11-02T23:52:41.094313,246656835,246656835,180594363,0.732170,0.068965,0.068965
Cosmos,0.09413,0.02353,2019-11-01T23:52:39.814303,246609950,246609950,180706002,0.732760,0.068973,0.068973
Cosmos,0.09408,0.02348,2019-10-31T23:52:34.132502,246562975,246562975,180771640,0.733170,0.068979,0.068979
Cosmos,0.09406,0.02347,2019-10-30T23:52:48.613011,246516060,246516060,180765259,0.733280,0.068971,0.068971
Cosmos,0.09404,0.02345,2019-10-29T23:52:47.269397,246469208,246469208,180779257,0.733480,0.068979,0.068979
Cosmos,0.09413,0.02349,2019-10-28T23:52:56.167881,246422748,246422748,180684096,0.733230,0.069019,0.069019
Cosmos,0.09405,0.02337,2019-10-27T23:52:41.690631,246376383,246376383,180921365,0.734330,0.069062,0.069062
Cosmos,0.09407,0.02337,2019-10-26T23:52:43.652307,246329901,246329901,180895791,0.734360,0.069084,0.069084
Cosmos,0.09382,0.02330,2019-10-25T23:52:48.449859,246283356,246283356,180891179,0.734480,0.068906,0.068906
Cosmos,0.09369,0.02316,2019-10-24T23:52:44.314837,246236799,246236799,181174694,0.735770,0.068934,0.068934
Cosmos,0.09372,0.02315,2019-10-23T23:52:44.039977,246190197,246190197,181183857,0.735950,0.068972,0.068972
Cosmos,0.09383,0.02320,2019-10-22T23:52:48.343863,246143801,246143801,181092072,0.735720,0.069029,0.069029
Cosmos,0.09379,0.02311,2019-10-21T23:52:53.993077,246097240,246097240,181274259,0.736600,0.069082,0.069082
Cosmos,0.09372,0.02300,2019-10-20T23:52:44.082482,246050478,246050478,181489568,0.737610,0.069127,0.069127
Cosmos,0.09377,0.02301,2019-10-19T23:52:58.332229,246003602,246003602,181459462,0.737630,0.069168,0.069168
Cosmos,0.09382,0.02302,2019-10-18T23:52:50.585810,245956793,245956793,181443066,0.737700,0.069211,0.069211
Cosmos,0.09453,0.02364,2019-10-17T23:52:39.751809,245909961,245909961,180160504,0.732630,0.069254,0.069254
Cosmos,0.09503,0.02371,2019-10-16T23:52:48.740355,245863098,245863098,180247978,0.733120,0.069670,0.069670
Cosmos,0.09448,0.02359,2019-10-15T23:52:47.990599,245816176,245816176,180184672,0.733010,0.069254,0.069254
Cosmos,0.09585,0.02445,2019-10-14T23:52:35.880853,245769583,245769583,178708203,0.727140,0.069699,0.069699
Cosmos,0.09453,0.02375,2019-10-13T23:52:43.971580,245722830,245722830,179706805,0.731340,0.069133,0.069133
Cosmos,0.09473,0.02380,2019-10-12T23:52:45.596216,245676316,245676316,179673360,0.731340,0.069280,0.069280
Cosmos,0.09534,0.02429,2019-10-11T23:52:39.302710,245629713,245629713,178712694,0.727570,0.069363,0.069363
Cosmos,0.09579,0.02448,2019-10-10T23:52:49.147425,245583086,245583086,178464379,0.726700,0.069610,0.069610
Cosmos,0.09563,0.02441,2019-10-09T23:52:30.692467,245536269,245536269,178499824,0.726980,0.069518,0.069518
Cosmos,0.09575,0.02444,2019-10-08T23:52:43.502122,245489530,245489530,178472824,0.727010,0.069614,0.069614
Cosmos,0.09610,0.02454,2019-10-07T23:52:32.744501,245442740,245442740,178382340,0.726780,0.069847,0.069847
Cosmos,0.09625,0.02457,2019-10-06T23:52:34.259748,245395810,245395810,178375707,0.726890,0.069964,0.069964
Cosmos,0.09634,0.02459,2019-10-05T23:52:41.519386,245348803,245348803,178329368,0.726840,0.070024,0.070024
Cosmos,0.09606,0.02456,2019-10-04T23:52:32.398406,245301750,245301750,178212195,0.726500,0.069788,0.069788
Cosmos,0.09657,0.02482,2019-10-03T23:54:02.671293,245254941,245254941,177804443,0.724980,0.070009,0.070009
Cosmos,0.09626,0.02478,2019-10-02T23:52:46.156483,245207909,245207909,177684413,0.724630,0.069756,0.069756
Cosmos,0.09603,0.02466,2019-10-01T23:52:53.062186,245161065,245161065,177807741,0.725270,0.069645,0.069645
Cosmos,0.09828,0.02677,2019-09-30T23:52:53.361054,245114289,245114289,173706998,0.708680,0.069648,0.069648
Cosmos,0.09778,0.02661,2019-09-29T23:52:53.208259,245067509,245067509,173740056,0.708950,0.069323,0.069323
Cosmos,0.09791,0.02671,2019-09-28T23:52:39.018000,245020949,245020949,173528981,0.708220,0.069339,0.069339
Cosmos,0.09887,0.02694,2019-09-27T23:52:58.459112,244974470,244974470,173535037,0.708380,0.070036,0.070036
Cosmos,0.09914,0.02715,2019-09-26T23:52:59.826120,244927531,244927531,173143158,0.706920,0.070081,0.070081
Cosmos,0.09848,0.02700,2019-09-25T23:52:57.546709,244880551,244880551,173065690,0.706740,0.069602,0.069602
Cosmos,0.08998,0.02443,2019-09-24T23:52:46.950000,244833890,244833890,174115915,0.711160,0.063987,0.063987
Cosmos,0.09922,0.02730,2019-09-23T23:53:06.749220,244791736,244791736,172723504,0.705590,0.070012,0.070012
Cosmos,0.09923,0.02698,2019-09-22T12:00:09.503313,244721995378902,244721995378902,173504623434434,0.708990,0.070350,0.070350
Cosmos,0.09955,0.02706,2019-09-21T12:00:06.780502,244674859784281,244674859784281,173461164218357,0.708950,0.070574,0.070574
Cosmos,0.09888,0.02639,2019-09-20T12:00:06.602354,244627584838082,244627584838082,174720694024316,0.714230,0.070624,0.070624
Cosmos,0.09870,0.02626,2019-09-19T12:00:10.889324,244580294252306,244580294252306,174904935329930,0.715120,0.070586,0.070586
Cosmos,0.09877,0.02628,2019-09-18T12:00:11.430920,244533021375647,244533021375647,174878202938271,0.715150,0.070636,0.070636
Cosmos,0.09899,0.02643,2019-09-17T12:00:11.978574,244485717003671,244485717003671,174604703930784,0.714170,0.070698,0.070698
Cosmos,0.09884,0.02634,2019-09-16T12:00:16.292094,244438392635342,244438392635342,174683916743799,0.714630,0.070632,0.070632
Cosmos,0.09854,0.02623,2019-09-15T12:00:10.764077,244391116433678,244391116433678,174754353769034,0.715060,0.070465,0.070465
Cosmos,0.09857,0.02627,2019-09-14T12:00:48.837088,244343990552521,244343990552521,174629737977369,0.714690,0.070444,0.070444
Cosmos,0.09858,0.02623,2019-09-13T12:00:17.915990,244296852177521,244296852177521,174709895901851,0.715150,0.070499,0.070499
Cosmos,0.09843,0.02638,2019-09-12T12:00:11.540867,244249701335407,244249701335407,174186841595633,0.713150,0.070195,0.070195
Cosmos,0.09794,0.02603,2019-09-11T12:00:11.427783,244202750572125,244202750572125,174745581307884,0.715580,0.070085,0.070085
Cosmos,0.09798,0.02605,2019-09-10T12:00:13.599783,244155889644502,244155889644502,174692856422811,0.715500,0.070106,0.070106
Cosmos,0.09838,0.02637,2019-09-09T12:00:17.249018,244109042815284,244109042815284,174090694941261,0.713170,0.070164,0.070164
Cosmos,0.09776,0.02617,2019-09-08T12:00:11.058340,244062131074107,244062131074107,174176454114881,0.713660,0.069764,0.069764
Cosmos,0.09550,0.02391,2019-09-07T12:00:07.366141,244015516930817,244015516930817,178659246875418,0.732160,0.069922,0.069922
Cosmos,0.09622,0.02440,2019-09-06T12:00:15.494159,243968809773124,243968809773124,177768373893002,0.728650,0.070112,0.070112
Cosmos,0.09607,0.02446,2019-09-05T12:00:13.065484,243921968168538,243921968168538,177478915384755,0.727600,0.069901,0.069901
Cosmos,0.09647,0.02449,2019-09-03T12:00:06.559717,243828455907213,243828455907213,177578277871531,0.728290,0.070256,0.070256
Cosmos,0.09640,0.02445,2019-09-02T12:00:09.010180,243781557652378,243781557652378,177618604399351,0.728600,0.070234,0.070234
Cosmos,0.09635,0.02443,2019-09-01T12:00:08.064605,243734677045152,243734677045152,177610474392429,0.728700,0.070213,0.070213
Cosmos,0.09665,0.02451,2019-08-31T12:00:09.719690,243687825430305,243687825430305,177537865482015,0.728550,0.070415,0.070415
Cosmos,0.09677,0.02461,2019-08-30T14:58:25.746105,243646646964488,243646646964488,177316325215375,0.727760,0.070424,0.070424
Cosmos,0.09694,0.02442,2019-08-27T12:00:08.122425,243499452314650,243499452314650,177824478057645,0.730290,0.070794,0.070794
Cosmos,0.09718,0.02445,2019-08-26T12:00:08.122904,243452255011046,243452255011046,177851022381105,0.730540,0.070994,0.070994
Cosmos,0.09716,0.02449,2019-08-25T12:00:09.685833,243404930319070,243404930319070,177706075356416,0.730080,0.070932,0.070932
Cosmos,0.09708,0.02437,2019-08-24T12:00:14.163145,243357656916952,243357656916952,177933350138711,0.731160,0.070980,0.070980
Cosmos,0.09715,0.02453,2019-08-23T12:00:07.163866,243310347266087,243310347266087,177529895126099,0.729640,0.070882,0.070882
Cosmos,0.09763,0.02479,2019-08-22T12:00:07.847285,243263130994207,243263130994207,177112603732297,0.728070,0.071084,0.071084
Cosmos,0.09775,0.02493,2019-08-21T12:00:11.763928,243215780586050,243215780586050,176765977220442,0.726790,0.071041,0.071041
Cosmos,0.09789,0.02496,2019-08-20T12:00:08.692132,243168463603905,243168463603905,176748491934969,0.726860,0.071152,0.071152
Cosmos,0.09812,0.02512,2019-08-19T12:00:07.304306,243121088882648,243121088882648,176442474042955,0.725740,0.071208,0.071208
Cosmos,0.09806,0.02512,2019-08-18T12:00:09.817891,243073683270845,243073683270845,176374672590173,0.725600,0.071155,0.071155
Cosmos,0.09818,0.02518,2019-08-17T12:00:08.453000,243026326693840,243026326693840,176262538520060,0.725280,0.071208,0.071208
Cosmos,0.09806,0.02503,2019-08-16T12:00:06.506302,242978908886060,242978908886060,176549839609537,0.726610,0.071250,0.071250
Cosmos,0.09820,0.02498,2019-08-15T12:00:07.149420,242931505604050,242931505604050,176708077343524,0.727400,0.071427,0.071427
Cosmos,0.09824,0.02513,2019-08-14T12:00:10.955023,242884006843245,242884006843245,176312429371285,0.725910,0.071313,0.071313
Cosmos,0.10205,0.02870,2019-08-13T12:00:07.133264,242836571966540,242836571966540,169677393890822,0.698730,0.071306,0.071306
Cosmos,0.10206,0.02873,2019-08-12T12:00:14.439964,242789170181367,242789170181367,169558869285831,0.698380,0.071274,0.071274
Cosmos,0.10214,0.02876,2019-08-11T12:00:10.136815,242741787899295,242741787899295,169518042515303,0.698350,0.071331,0.071331
Cosmos,0.10219,0.02877,2019-08-10T12:00:08.095525,242694383255117,242694383255117,169486436951504,0.698350,0.071367,0.071367
