currency,yield,real_yield,timestamp,total_supply,circulating_supply,staked_supply,staking_rate,inflation,inflation_total
Livepeer,0.24557,0.08168,2020-09-14T00:21:32.090115,22151056,22151056,14229921,0.642400,0.151516,0.151516
Livepeer,0.24559,0.08168,2020-09-13T23:21:41.209469,22151056,22151056,14229921,0.642400,0.151530,0.151530
Livepeer,0.24542,0.08166,2020-09-12T23:21:58.552769,22144443,22144443,14223195,0.642290,0.151400,0.151400
Livepeer,0.24535,0.08163,2020-09-11T23:21:34.979481,22137821,22137821,14219343,0.642310,0.151361,0.151361
Livepeer,0.24516,0.08159,2020-09-10T23:21:27.191466,22130635,22130635,14213070,0.642240,0.151233,0.151233
Livepeer,0.24531,0.08168,2020-09-09T23:21:40.313059,22123991,22123991,14204839,0.642060,0.151276,0.151276
Livepeer,0.24528,0.08165,2020-09-08T23:21:36.663856,22118134,22118134,14203189,0.642150,0.151283,0.151283
Livepeer,0.24824,0.08425,2020-09-07T23:21:30.452627,22112185,22112185,14044258,0.635140,0.151246,0.151246
Livepeer,0.24807,0.08406,2020-09-06T23:16:41.332129,22102331,22102331,14050140,0.635690,0.151285,0.151285
Livepeer,0.24777,0.08399,2020-09-05T23:15:37.025387,22097253,22097253,14045341,0.635620,0.151096,0.151096
Livepeer,0.24774,0.08401,2020-09-04T23:15:59.465793,22091919,22091919,14039003,0.635480,0.151039,0.151039
Livepeer,0.24694,0.08332,2020-09-03T23:15:31.188599,22086126,22086126,14075327,0.637290,0.151033,0.151033
Livepeer,0.24443,0.08117,2020-09-02T23:16:23.573769,22080467,22080467,14198577,0.643040,0.151002,0.151002
Livepeer,0.24449,0.08122,2020-09-01T23:15:32.303782,22073483,22073483,14191736,0.642930,0.151008,0.151008
Livepeer,0.24168,0.07888,2020-08-31T23:15:35.435435,22067195,22067195,14325905,0.649200,0.150895,0.150895
Livepeer,0.24210,0.07928,2020-08-30T23:15:23.944718,22054165,22054165,14291978,0.648040,0.150859,0.150859
Livepeer,0.24195,0.07927,2020-08-29T23:15:29.269905,22047007,22047007,14283765,0.647880,0.150732,0.150732
Livepeer,0.24181,0.07919,2020-08-28T23:15:22.028005,22039841,22039841,14282546,0.648030,0.150686,0.150686
Livepeer,0.24170,0.07912,2020-08-27T23:15:24.858562,22032667,22032667,14281712,0.648210,0.150664,0.150664
Livepeer,0.24191,0.07928,2020-08-26T23:15:46.418507,22025681,22025681,14268096,0.647790,0.150687,0.150687
Livepeer,0.24152,0.07913,2020-08-25T23:15:21.857352,22018028,22018028,14266048,0.647930,0.150487,0.150487
Livepeer,0.24181,0.07929,2020-08-24T23:15:30.051539,22010602,22010602,14254476,0.647620,0.150582,0.150582
Livepeer,0.24175,0.07930,2020-08-23T23:16:17.735529,22003093,22003093,14246798,0.647490,0.150514,0.150514
