currency,yield,real_yield,timestamp,total_supply,circulating_supply,staked_supply,staking_rate,inflation,inflation_total
Tezos,0.06191,0.01233,2020-09-14T00:21:23.807455,849481854,849481854,672088000,0.791170,0.048985,0.048985
Tezos,0.06191,0.01233,2020-09-13T23:21:33.053643,849477114,849477114,672088000,0.791180,0.048985,0.048985
Tezos,0.06195,0.01234,2020-09-12T23:21:50.740596,849367111,849367111,671840000,0.790990,0.049005,0.049005
Tezos,0.06198,0.01235,2020-09-11T23:21:24.719743,849258737,849258737,671792000,0.791030,0.049030,0.049030
Tezos,0.06198,0.01234,2020-09-10T23:21:19.009697,849146788,849146788,671784000,0.791130,0.049032,0.049032
Tezos,0.06202,0.01236,2020-09-09T23:21:30.978571,849036267,849036267,671488000,0.790880,0.049048,0.049048
Tezos,0.06205,0.01238,2020-09-08T23:21:26.385642,848926242,848926242,671272000,0.790730,0.049067,0.049067
Tezos,0.06202,0.01234,2020-09-07T23:21:22.477301,848815144,848815144,671688000,0.791320,0.049079,0.049079
Tezos,0.06205,0.01235,2020-09-06T23:16:33.610112,848705544,848705544,671520000,0.791230,0.049096,0.049096
Tezos,0.06229,0.01256,2020-09-05T23:15:29.078309,848595481,848595481,669096000,0.788480,0.049115,0.049115
Tezos,0.06194,0.01221,2020-09-04T23:15:48.199296,848484543,848484543,673008000,0.793190,0.049126,0.049126
Tezos,0.06206,0.01232,2020-09-03T23:15:23.813650,848374753,848374753,671696000,0.791740,0.049137,0.049137
Tezos,0.06191,0.01216,2020-09-02T23:16:10.708355,848264440,848264440,673424000,0.793880,0.049149,0.049149
Tezos,0.06147,0.01174,2020-09-01T23:15:18.853279,848153063,848153063,678264000,0.799700,0.049155,0.049155
Tezos,0.06148,0.01172,2020-08-31T23:15:27.129189,848044271,848044271,678360000,0.799910,0.049178,0.049178
Tezos,0.06147,0.01170,2020-08-30T23:15:15.119234,847934410,847934410,678640000,0.800340,0.049194,0.049194
Tezos,0.06147,0.01169,2020-08-29T23:15:22.219721,847824431,847824431,678688000,0.800500,0.049205,0.049205
Tezos,0.06154,0.01173,2020-08-28T23:15:14.605329,847715317,847715317,678176000,0.800000,0.049233,0.049233
Tezos,0.06155,0.01172,2020-08-27T23:15:16.771987,847605050,847605050,678272000,0.800220,0.049253,0.049253
Tezos,0.06156,0.01171,2020-08-26T23:15:38.579501,847494838,847494838,678352000,0.800420,0.049271,0.049271
Tezos,0.06162,0.01175,2020-08-25T23:15:14.965442,847384608,847384608,677872000,0.799960,0.049290,0.049290
Tezos,0.06166,0.01178,2020-08-24T23:15:23.080344,847273333,847273333,677408000,0.799520,0.049302,0.049302
Tezos,0.06167,0.01178,2020-08-23T23:16:09.451456,847162232,847162232,677408000,0.799620,0.049314,0.049314
Tezos,0.06174,0.01181,2020-08-22T23:16:05.913128,847053504,847053504,677008000,0.799250,0.049345,0.049345
Tezos,0.06173,0.01180,2020-08-21T23:15:27.669401,846942581,846942581,677120000,0.799490,0.049355,0.049355
Tezos,0.06178,0.01182,2020-08-20T23:15:11.105622,846832203,846832203,676760000,0.799170,0.049374,0.049374
Tezos,0.06183,0.01185,2020-08-19T23:16:02.175622,846721525,846721525,676432000,0.798880,0.049395,0.049395
Tezos,0.06155,0.01157,2020-08-18T23:15:14.385994,846611266,846611266,679592000,0.802720,0.049408,0.049408
Tezos,0.06162,0.01162,2020-08-17T23:15:17.606297,846499849,846499849,678928000,0.802040,0.049424,0.049424
Tezos,0.06163,0.01162,2020-08-16T23:15:35.973236,846387768,846387768,678944000,0.802170,0.049434,0.049434
Tezos,0.06161,0.01160,2020-08-15T23:15:17.741931,846274437,846274437,679040000,0.802390,0.049436,0.049436
Tezos,0.06164,0.01162,2020-08-14T23:15:20.229116,846180470,846180470,678768000,0.802160,0.049446,0.049446
Tezos,0.06162,0.01158,2020-08-13T23:15:36.893832,846068512,846068512,679136000,0.802700,0.049459,0.049459
Tezos,0.06161,0.01157,2020-08-12T23:15:39.868218,845956057,845956057,679224000,0.802910,0.049468,0.049468
Tezos,0.06148,0.01142,2020-08-11T23:15:10.288357,845844998,845844998,680872000,0.804960,0.049486,0.049486
Tezos,0.06164,0.01157,2020-08-10T23:15:24.061333,845732745,845732745,679176000,0.803060,0.049498,0.049498
Tezos,0.06168,0.01160,2020-08-09T23:15:19.380683,845619765,845619765,678704000,0.802610,0.049502,0.049502
Tezos,0.06155,0.01148,2020-08-08T23:15:30.806881,845508461,845508461,680056000,0.804320,0.049505,0.049505
Tezos,0.06153,0.01145,2020-08-07T23:15:10.673594,845396602,845396602,680352000,0.804770,0.049520,0.049520
Tezos,0.06163,0.01154,2020-08-06T23:15:33.772607,845283483,845283483,679232000,0.803560,0.049525,0.049525
Tezos,0.06179,0.01167,2020-08-05T23:15:18.213241,845171737,845171737,677664000,0.801810,0.049542,0.049542
Tezos,0.06177,0.01163,2020-08-04T23:15:24.240790,845060639,845060639,678000000,0.802310,0.049556,0.049556
Tezos,0.06156,0.01142,2020-08-03T23:15:21.877204,844948859,844948859,680368000,0.805220,0.049568,0.049568
Tezos,0.06150,0.01136,2020-08-02T23:15:20.505879,844836807,844836807,681080000,0.806170,0.049581,0.049581
Tezos,0.06169,0.01153,2020-08-01T23:15:20.657102,844724992,844724992,679072000,0.803900,0.049591,0.049591
Tezos,0.06152,0.01136,2020-07-31T23:15:23.000038,844612815,844612815,680864000,0.806130,0.049594,0.049594
Tezos,0.06150,0.01132,2020-07-30T23:15:17.843856,844501396,844501396,681312000,0.806760,0.049612,0.049612
Tezos,0.06201,0.01181,2020-07-29T23:15:22.176406,844387935,844387935,675544000,0.800040,0.049608,0.049608
Tezos,0.06210,0.01190,2020-07-28T23:15:11.396207,844274856,844274856,674520000,0.798930,0.049614,0.049614
Tezos,0.06221,0.01200,2020-07-27T23:15:37.546804,844162373,844162373,673320000,0.797620,0.049621,0.049621
Tezos,0.06221,0.01199,2020-07-26T23:15:17.054112,844048857,844048857,673272000,0.797670,0.049623,0.049623
Tezos,0.06215,0.01193,2020-07-25T23:15:14.487092,843936226,843936226,673928000,0.798550,0.049630,0.049630
Tezos,0.06211,0.01189,2020-07-24T23:15:16.475465,843823328,843823328,674328000,0.799130,0.049635,0.049635
Tezos,0.06203,0.01181,2020-07-23T23:21:24.665207,843709801,843709801,675128000,0.800190,0.049640,0.049640
Tezos,0.06199,0.01176,2020-07-22T23:21:15.001318,843597596,843597596,675664000,0.800930,0.049653,0.049653
Tezos,0.06203,0.01178,2020-07-21T23:21:20.289716,843484175,843484175,675320000,0.800630,0.049660,0.049660
Tezos,0.06209,0.01184,2020-07-20T23:21:16.737583,843370298,843370298,674520000,0.799790,0.049660,0.049660
Tezos,0.06213,0.01188,2020-07-19T23:21:13.858510,843257811,843257811,674032000,0.799320,0.049663,0.049663
Tezos,0.06216,0.01190,2020-07-18T23:21:15.542296,843144161,843144161,673704000,0.799040,0.049666,0.049666
Tezos,0.06208,0.01182,2020-07-17T23:21:23.846417,843030758,843030758,674552000,0.800150,0.049671,0.049671
Tezos,0.06180,0.01154,2020-07-16T23:15:18.907234,842917256,842917256,677632000,0.803910,0.049682,0.049682
Tezos,0.06176,0.01150,2020-07-15T23:15:14.192589,842804847,842804847,678024000,0.804480,0.049687,0.049687
Tezos,0.06196,0.01170,2020-07-14T23:15:15.921694,842691276,842691276,675712000,0.801850,0.049686,0.049686
Tezos,0.06192,0.01165,2020-07-13T23:15:14.506300,842578460,842578460,676184000,0.802520,0.049694,0.049694
Tezos,0.06198,0.01170,2020-07-12T23:15:20.792533,842465331,842465331,675536000,0.801860,0.049701,0.049701
Tezos,0.06198,0.01170,2020-07-11T23:15:15.206846,842351581,842351581,675456000,0.801870,0.049702,0.049702
Tezos,0.06200,0.01170,2020-07-10T23:15:19.735325,842238613,842238613,675352000,0.801850,0.049714,0.049714
